,Template,edit_site,change_H,change_C,change_S,Frequency
10336,[Cl:4]-[C:2]-[C:3]-[S:1]>>C-S-[S:1].[C:2]=[C:3].Cl-S(=O)(=O)-[Cl:4]_0000_0000_0000,"{'A': [], 'B': [(2, 4), (1, 3)], 'C': [], 'R': []}","{4: 0, 2: 0, 3: 0, 1: 0}","{4: 0, 2: 0, 3: 0, 1: 0}","{4: 0, 2: 0, 3: 0, 1: 0}",1
10337,[C:1]-[C:2]#[C:3]>>C-O-N(-C)-[C:1].[C:2]#[C:3]_00-1_0-1-1_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: -1, 3: -1}","{1: 0, 2: 0, 3: 0}",1
10338,[N:2].[C:1]-[O:3]>>[C:1]-[N:2].O=C1-C(=[O:3])-N-c2:c:c:c:c:c:2-1_0-10_001_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 0, 3: 0, 2: -1}","{1: 0, 3: 1, 2: 0}","{1: 0, 3: 0, 2: 0}",1
10339,[Br:1]-[C:2]>>[Br:1].O=S(=O)(-O-[C:2])-c1:c:c:c:c:c:1_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",1
10340,[C:1]-[C:3]-[C:2]>>[C:1].C-C-O-[C:2].O-C(=O)-[C:3]_101_000_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: 1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
10341,[c:1]-[C:2]>>N-[c:1].N#C-[Cu]-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",5
10342,[n:1].[n:2].[C:3]-[N:4]>>[n:1].[n:2].C-C(-C)(-C)-O-[C:3].O=C=[N:4]_-110-1_0000_0000,"{'A': [], 'B': [(3, 4)], 'C': [], 'R': [2, 2, 1, 1]}","{3: 0, 2: 1, 1: -1, 4: -1}","{3: 0, 2: 0, 1: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 4: 0}",1
10343,[S:1]-[c:2]>>[S:1].C-c1:c:c:c(-S(=O)(=O)-O-[c:2]):c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10344,[N:1]-[C:2]=[O:3]>>C-[N:1]-C.O=[C:2]-[O:3]_-101_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: 1, 1: -1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",1
10345,[O:2]-[C:3]=[O:1]>>[O:1].O-[O:2].C-C-O-C(=O)-[C:3]-Cl_101_-100_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{1: 1, 3: 1, 2: 0}","{1: -1, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1
10346,[c:1]-[Cl:2]>>F-[c:1].Cl-c1:c:c:c(-C(=O)-N2-C-C-C(-F)(-C=O)-C-C-2):c:c:1-[Cl:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10347,[c:1]-[O:2]>>[c:1].Br-c1:c:n:c(-N-c2:c:c:c3:c(:c:2)-[O:2]-C-C-O-3):n:c:1-N-c1:c:c:c2:c(:c:1)-O-C-C-O-2_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10348,[C:1]-[O:2]>>[C:1].C1-N-[O:2]-1_1-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10349,[O:1]-[C:3]-[O:2]>>[O:1].[O:2].O=[C:3]_010_-100_000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 1, 3: 0, 1: 0}","{2: 0, 3: 0, 1: -1}","{2: 0, 3: 0, 1: 0}",1
10350,[c:1]-[O:2]>>Cl-[c:1].C-N(-C)-C(=O)-c1:c:c2:n:c:c:c(-[O:2]):c:2:s:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10351,[C:1]-[N:2]>>I-[C:1].C-C(-C)(-C)-C(=O)-[N:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10352,[C:1]-[S:3]=[O:2]>>C-O-[C:1].[O:2]-[S:3]_010_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{2: 1, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",3
10353,[C:1]-[O:2]>>Cl-[C:1].C1-C-O-C-C-O-C-C-[O:2]-C-C-O-C-C-O-C-C-O-1_0-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10354,[S:1]>>[S:1]-c1:n:n:n:n:1-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
10355,[O:1]-[C:2]>>[O:1]=[C:2]-O-C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_-1-2_00_00,"{'A': [2], 'B': [], 'C': [], 'R': []}","{2: -2, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10356,[O:2].[C:1]-[O:3]>>[C:1]-[O:2].O=c1:n:c2:c:c:n:c-2:c:1=[O:3]_0-1-1_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: -1, 1: 0, 2: -1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
10357,[c:1]-[Br:2]>>[c:1]-N1-C-C-O-C-C-1.Br-c1:c:c:c(-C(=O)-C-[Br:2]):c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10358,[c:1]-[O:2]>>C-S-[c:1].Cl-c1:c:c:c:c(-C(=[O:2])-O-O):c:1_0-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",2
10359,[O:1]=[C:3].[C:2]=[N:4]>>[O:1].Cl-[C:2]-Cl.[C:3]=[N:4]_1000_-1000_0000,"{'A': [], 'B': [(1, 3), (2, 4)], 'C': [], 'R': []}","{3: 0, 4: 0, 2: 0, 1: 1}","{3: 0, 4: 0, 2: 0, 1: -1}","{3: 0, 4: 0, 2: 0, 1: 0}",2
10360,[Si:1]-[C:2]=[O:3]>>Cl-[Si:1].O=[C:2]-[O:3]_000_00-1_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: -1, 1: 0}","{2: 0, 3: 0, 1: 0}",1
10361,[C:1]-[C:2]=[O:3]>>O=C(-[C:1])-[O-].O=[C:2]-[O:3]_001_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: 1, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",2
10362,[O:1]-[Si:3]-[O:2]>>[O:1].[O:2].Cl-[Si:3]-Cl_010_-100_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{1: 0, 3: 0, 2: 1}","{1: -1, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1
10363,[O:1]-[c:2]>>[O:1].[c:2]-O-C-C1-C-C-C-1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10364,[C:1]-[S:4]-[C:3]-[c:2]>>Br-[C:1].[Mg+]-C-[c:2].[C:3]=[S:4]_0000_0000_0000,"{'A': [], 'B': [(2, 3), (1, 4)], 'C': [], 'R': []}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",1
10365,[O:1]>>Cl-c1:c:c:c:c(-[O:1]):c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
10366,[O:2]-[C:3]=[O:1]>>[O:1].[O:2]=[C:3]-N1-C-C-C-C-C-1_1-10_-100_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 2: -1, 1: 1}","{3: 0, 2: 0, 1: -1}","{3: 0, 2: 0, 1: 0}",1
10367,[c:1]-[C:2]-[O:3]>>C-[c:1].[O-]-[C:2]-[O:3]_00-1_00-1_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}",2
10368,[c:1]-[c:2]>>[c:1].F-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",7
10369,[O:4].[C:2]-[N:1]-[C:3]>>[N:1].O=[C:2].[C:3]-[O:4]_2-10-1_0000_0000,"{'A': [4], 'B': [(1, 3), (1, 2)], 'C': [], 'R': []}","{4: -1, 3: 0, 1: 2, 2: -1}","{4: 0, 3: 0, 1: 0, 2: 0}","{4: 0, 3: 0, 1: 0, 2: 0}",1
10370,[c:1]>>C-C-O-P(=O)(-C-[c:1])-O-C-C_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
10371,[O:1]>>O-C(=O)-C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},5
10372,[C:1]-[O:2]>>[C:1].O-c1:c:c:c:c:c:1-C(=O)-[O:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
10373,[N:1]-[C:2]>>[N:1].C-[C:2](-C)(-C)-[O-]_1-3_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -3}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10374,[C:1]-[c:2]>>Cl-[C:1].N-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",3
10375,[c:1]-[O:2]>>F-[c:1].C-C(-C)(-C)-O-C(=O)-N-C1-C-c2:c:c(-[O:2]):c:c:c:2-N(-O-C(=O)-O-C(-C)(-C)-C)-C-1=O_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10376,[C:2]-[N:3]-[c:1]>>[c:1].O-[C:2].Br-c1:c(-[N:3]-C(=O)-C(=O)-C-C(-C)(-C)-c2:c:c:c:c:c:2):c:c:c2:c:1-C-O-C-2=O_100_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
10377,[F:1]-[c:2]>>[F:1].F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",1
10378,[C:4]-[S:3]-[C:2]=[O:1]>>[O:1]-[C:2]=[S:3].C-c1:c:c:c(-S(=O)(=O)-O-[C:4]):c:c:1_1000_0000_0000,"{'A': [], 'B': [(3, 4)], 'C': [(2, 1), (1, 2)], 'R': []}","{2: 0, 3: 0, 4: 0, 1: 1}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",2
10379,[C:1]-[C:2]1-[C:3]-[C:4]-[C:5]-1>>[C:1]=[C:2].[C:3]-[C:4]=[C:5]_0010-1_00000_00000,"{'A': [], 'B': [(2, 3), (1, 4)], 'C': [], 'R': []}","{2: 0, 1: 0, 4: 0, 5: -1, 3: 1}","{2: 0, 1: 0, 4: 0, 5: 0, 3: 0}","{2: 0, 1: 0, 4: 0, 5: 0, 3: 0}",1
10380,[O:1]=[c:2]:[n:3]>>[O:1].C-S(=O)(=O)-[c:2]:[n:3]_10-1_-100_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: -1}","{2: 0, 1: -1, 3: 0}","{2: 0, 1: 0, 3: 0}",3
10381,[n:2].[n:1]-[C:3]=[O:4]>>[n:1].[n:2].O=[C:3]-[O:4]-c1:c:c:c:c:c:1_0100_0000_0000,"{'A': [4], 'B': [(1, 3)], 'C': [], 'R': [2, 2]}","{1: 0, 3: 0, 4: 0, 2: 1}","{1: 0, 3: 0, 4: 0, 2: 0}","{1: 0, 3: 0, 4: 0, 2: 0}",1
10382,[C:2]-[C:3]-[N:1]>>[N:1].[C:2]#[C:3]_1-2-1_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -2, 3: -1, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",5
10383,[C:1]-[O:2]-[C:3]>>[C:1]=[O:2].C-C(-C)-N(-[C:3])-C(-C)-C_-100_000_000,"{'A': [], 'B': [(2, 3)], 'C': [], 'R': []}","{3: 0, 2: 0, 1: -1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1
10384,[C:1]-[S:2]>>[C:1].O-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10385,[C:1]1-[C:2]-[C:3]-1>>[C:1].[C:2]=[C:3]_200_000_000,"{'A': [], 'B': [(1, 3), (1, 2)], 'C': [], 'R': []}","{1: 2, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",5
10386,[N:3].[n:1]:[n:2]>>[n:1]:[n:2].C-C(-C)(-C)-O-C(=O)-[N:3]_1-1-1_000_000,"{'A': [3], 'B': [], 'C': [], 'R': [2, 2, 1, 1]}","{3: -1, 2: -1, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",4
10387,[C:2]-[C:3]-[P:1]>>O-P(-O)-[P:1].[C:2]=[C:3]_0-10_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 0, 3: 0, 2: -1}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1
10388,[N:1].[C:2]=[C:3]>>[N:1].[C:2]-[C:3]_111_100_000,"{'A': [], 'B': [], 'C': [(3, 2), (2, 3)], 'R': [1, 1, 1]}","{1: 1, 3: 1, 2: 1}","{1: 1, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1
10389,[N:1]-[c:2]>>[N:1].[c:2]-c1:n:[nH]:c:n:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",3
10390,[C:1]-[C:3]=[C:2]>>O=C-[C:1].[C:2]-[C:3]-[Li]_011_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 1, 2: 1, 1: 0}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1
10391,[c:1]-[C:2]>>[c:1].C-[N+](-C)(-C)-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
10392,[P:1]=[O:2]>>[P:1].[O:2]-C-C-c1:c:c:c:c:c:1_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10393,[O:1]-[c:2]>>[O:1].O-C-C1-C-C-1-c1:c:n:c:c(-O-C-[c:2]):c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10394,[O:1]-[C:2]>>[O:1].Cl-[C:2](-N-C(=O)-c1:c:c:c:n:c:1)-C(-Cl)(-Cl)-Cl_1-2_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -2}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10395,[P:1]-[C:4]-[C:3]=[C:2]>>[P:1].O=[C:2].C-C-O-P(=O)(-O-C-C)-[C:3]=[C:4]_1000_0000_0000,"{'A': [], 'B': [(1, 4), (2, 3)], 'C': [], 'R': []}","{1: 1, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",2
10396,[O:1]>>C-C-O-C(=O)-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
10397,[N:1]-[N:2]=[C:3]>>[N:1].O=[N:2]-[O-].C-C-O-C(=O)-[C:3]_101_000_000,"{'A': [], 'B': [(1, 2), (2, 3)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: 1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",2
10398,[c:1]-[C:2]=[C:3]>>Cl-[c:1].C-C-C-C-O-B(-C=C)-O-[C:2]-[C:3]-C-C_010_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 1, 3: 0}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",2
10399,[N:1]-[C:2]=[O:3]>>C-C(-C)-[N:1]-C(-C)-C.O=[C:2]-[O:3]_-101_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: 1, 1: -1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",1
10400,[C:4]-[O:3]-[C:2]=[O:1]>>[O:1]-[C:2]=[O:3].C-N(-C)-C-C-C-N=C=N-[C:4]_1000_0000_0000,"{'A': [], 'B': [(3, 4)], 'C': [(2, 1), (1, 2)], 'R': []}","{2: 0, 3: 0, 4: 0, 1: 1}","{2: 0, 3: 0, 4: 0, 1: 0}","{2: 0, 3: 0, 4: 0, 1: 0}",1
10401,[c:1]-[C:2]=[C:3]>>Br-[c:1].N#[C:2]-[C:3]_0-11_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{3: 1, 2: -1, 1: 0}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",2
10402,[C:1]-[C:2]>>[C:1].[C:2]-[N+]1(-[O-])-C-C-O-C-C-1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2
10403,[C:1]-[C:4]-[C:3]=[O:2]>>Br-[C:1].[O:2]-[C:3]=[C:4]_0000_0-100_0000,"{'A': [], 'B': [(1, 4)], 'C': [(3, 2), (2, 3)], 'R': []}","{4: 0, 3: 0, 2: 0, 1: 0}","{4: 0, 3: 0, 2: -1, 1: 0}","{4: 0, 3: 0, 2: 0, 1: 0}",7
10404,[C:1]=[O:2]>>C=[C:1].C-C(-C)=[O:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
10405,[N:1]=[C:2]-[N:3]>>[N:1]-[C:2]=[N:3]_20-2_10-1_000,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1), (2, 3), (3, 2)], 'R': []}","{1: 2, 2: 0, 3: -2}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}",2
10406,[O:1]-[C:2]=[O:3]>>[O-]-[Cl+]-[O:1].C-C(-C)-N(-C)-c1:c:c(-c2:c:c:c(-C-C-N(-C-[C:2]-[O:3])-C(=O)-O-C(-C)(-C)-C):c:c:2):c:c:c:1-C=O_-111_-100_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 3: 1, 1: -1}","{2: 0, 3: 0, 1: -1}","{2: 0, 3: 0, 1: 0}",1
10407,[c:1]-[C:2]>>Cl-[c:1].C1-C-O-[C:2]-C-O-1_0-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",4
10408,[O:2]=[C:1]-[N:3]>>O=[C:1]-[O:2]-C-c1:c:c:c:c:c:1.O=C(-C-[N:3])-O-C-c1:c:c:c:c:c:1_000_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
10409,[C:1]=[C:2]-[C:3]>>[C:1]#[C:2].C-N(-C)-C-C-N(-C)-[C:3]_-100_000_000,"{'A': [], 'B': [(2, 3)], 'C': [], 'R': []}","{3: 0, 2: 0, 1: -1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1
10410,[N:1]-[C:2]>>[N:1].C-C-N-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2
10411,[Cl:2]-[S:1]-[c:3](:[n:4]):[n:5]>>[S:1].[Cl:2].N-[c:3](:[n:4]):[n:5]_0101-1_00000_00000,"{'A': [], 'B': [(1, 3), (1, 2)], 'C': [], 'R': []}","{3: 0, 1: 0, 2: 1, 4: 1, 5: -1}","{3: 0, 1: 0, 2: 0, 4: 0, 5: 0}","{3: 0, 1: 0, 2: 0, 4: 0, 5: 0}",1
10412,[O:1]-[C:2]>>[O:1].C-O-C(=O)-O-C1-C-C(-O-C(=O)-O-[C:2])-C2(-C)-C3-C-C-C4(-C)-C(-C(-C)-C(-O)=O)-C-C-C-4-C-3=C-C=C-2-C-1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2
10413,[N:1]>>O=C(-[N:1])-C-O-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},3
10414,[O:2]-[C:1]-[C:3]-[C:4]=[O:5]>>[C:1]=[O:2].C-[Si](-C)(-C)-[O:3]-[C:4]=[C:5]_0-1-202_00000_00000,"{'A': [], 'B': [(1, 3)], 'C': [(4, 5), (5, 4)], 'R': []}","{4: 0, 5: 2, 3: -2, 1: 0, 2: -1}","{4: 0, 5: 0, 3: 0, 1: 0, 2: 0}","{4: 0, 5: 0, 3: 0, 1: 0, 2: 0}",2
10415,[n:1]-[C:3]=[O:2]>>[n:1].C-C(=O)-[O:2]-[C:3]_102_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 1, 3: 2, 2: 0}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1
10416,[c:1]-[Br:2]>>O-[c:1].Br-O-[Br:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",2
10417,[c:1]-[S:2]>>[c:1].N-c1:c:c:c2:c:c:c:c:c:2:c:1-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
10418,[C:1]-[C:2]>>F-[C:1].F-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10419,[n:1]>>N#C-C-[n:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
10420,[C:1]-[C:2]-[C:3]>>[C:1]-[K].C-S(=O)-[C:2].C-c1:c:c:c(-S(=O)(=O)-O-C-[C:3]):c:c:1_010_000_000,"{'A': [], 'B': [(1, 2), (2, 3)], 'C': [], 'R': []}","{1: 0, 2: 1, 3: 0}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",2
10421,[c:1]>>C-C(-C)(-C)-[c:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},13
10422,[O:1]=[C:2]-[O:3]>>[O:1].C=[C:2].F-C(-F)(-F)-C(-O)=[O:3]_21-1_000_000,"{'A': [], 'B': [(2, 3), (1, 2)], 'C': [], 'R': []}","{2: 1, 3: -1, 1: 2}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",2
10423,[C:1]-[C:2]>>C-N(-C)-[C:1].O=[C:2]_0-1_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
10424,[N:1]-[c:2]>>[N:1].C-C-O-C1-C-N(-[c:2])-C-C-1-N-c1:n:c(-C-C):c(-c2:c:c:c(-Cl):c:c:2-Cl):n:c:1-C-C_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
10425,[N:1]-[C:3]=[O:2]>>[N:1].Cl-c1:c:c(-Cl):c(-[O:2]-[C:3]=O):c:c:1-Cl_100_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",4
10426,[c:2]-[O:1]-[C:3]>>[O:1].Cl-[c:2].Cl-[C:3]-Cl_10-1_-100_000,"{'A': [], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{2: 0, 1: 1, 3: -1}","{2: 0, 1: -1, 3: 0}","{2: 0, 1: 0, 3: 0}",1
10427,[O:1].[c:2]-[c:3]>>[O:1].Br-[c:2].C-C1(-C)-O-B(-[c:3])-O-C-1(-C)-C_-100_-100_000,"{'A': [], 'B': [(2, 3)], 'C': [], 'R': [1]}","{2: 0, 3: 0, 1: -1}","{2: 0, 3: 0, 1: -1}","{2: 0, 3: 0, 1: 0}",2
10428,[C:1]-[S:4]-[C:3]=[C:2]>>C-C(-C)-N(-[C:1])-C(-C)-C.[C:2]-[C:3]=[S:4]_0100_0000_0000,"{'A': [], 'B': [(1, 4)], 'C': [(3, 2), (2, 3)], 'R': []}","{3: 0, 4: 0, 1: 0, 2: 1}","{3: 0, 4: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 1: 0, 2: 0}",2
